No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
62,6/02～6/20_総合保健福祉センター,TRUE,2021-06-03,13:20,14:40,14:00,14:20,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-03,2021-06-03T13:20:00.000+9,2021-06-03T14:40:00.000+9,2021-06-03T14:00:00.000+9,2021-06-03T14:20:00.000+9
63,6/02～6/20_総合保健福祉センター,TRUE,2021-06-09,13:20,14:40,14:00,14:20,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-09,2021-06-09T13:20:00.000+9,2021-06-09T14:40:00.000+9,2021-06-09T14:00:00.000+9,2021-06-09T14:20:00.000+9
64,6/02～6/20_総合保健福祉センター,TRUE,2021-06-10,13:20,14:40,14:00,14:20,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-10,2021-06-10T13:20:00.000+9,2021-06-10T14:40:00.000+9,2021-06-10T14:00:00.000+9,2021-06-10T14:20:00.000+9
65,6/02～6/20_総合保健福祉センター,TRUE,2021-06-16,13:20,14:40,14:00,14:20,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-16,2021-06-16T13:20:00.000+9,2021-06-16T14:40:00.000+9,2021-06-16T14:00:00.000+9,2021-06-16T14:20:00.000+9
66,6/02～6/20_総合保健福祉センター,TRUE,2021-06-17,13:20,14:40,14:00,14:20,10,3,1,120,2,2,6/02～6/20_総合保健福祉センター/2021-06-17,2021-06-17T13:20:00.000+9,2021-06-17T14:40:00.000+9,2021-06-17T14:00:00.000+9,2021-06-17T14:20:00.000+9
67,6/02～6/20_総合保健福祉センター,TRUE,2021-06-23,13:20,14:40,14:00,14:20,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-06-23,2021-06-23T13:20:00.000+9,2021-06-23T14:40:00.000+9,2021-06-23T14:00:00.000+9,2021-06-23T14:20:00.000+9
68,6/02～6/20_総合保健福祉センター,TRUE,2021-06-24,13:20,14:40,14:00,14:20,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-06-24,2021-06-24T13:20:00.000+9,2021-06-24T14:40:00.000+9,2021-06-24T14:00:00.000+9,2021-06-24T14:20:00.000+9
69,6/02～6/20_総合保健福祉センター,TRUE,2021-06-30,13:20,14:40,14:00,14:20,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-06-30,2021-06-30T13:20:00.000+9,2021-06-30T14:40:00.000+9,2021-06-30T14:00:00.000+9,2021-06-30T14:20:00.000+9
70,6/02～6/20_総合保健福祉センター,TRUE,2021-07-01,13:20,14:40,14:00,14:20,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-07-01,2021-07-01T13:20:00.000+9,2021-07-01T14:40:00.000+9,2021-07-01T14:00:00.000+9,2021-07-01T14:20:00.000+9
71,6/02～6/20_総合保健福祉センター,TRUE,2021-07-07,13:20,14:40,14:00,14:20,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-07-07,2021-07-07T13:20:00.000+9,2021-07-07T14:40:00.000+9,2021-07-07T14:00:00.000+9,2021-07-07T14:20:00.000+9
72,6/02～6/20_総合保健福祉センター,TRUE,2021-07-08,13:20,14:40,14:00,14:20,10,3,1,0,0,0,6/02～6/20_総合保健福祉センター/2021-07-08,2021-07-08T13:20:00.000+9,2021-07-08T14:40:00.000+9,2021-07-08T14:00:00.000+9,2021-07-08T14:20:00.000+9
