No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
51,7/14～8/01_総合保健福祉センター,TRUE,2021-08-18,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-18,2021-08-18T13:20:00.000+9,2021-08-18T14:40:00.000+9,2021-08-18T14:00:00.000+9,2021-08-18T14:20:00.000+9
52,7/14～8/01_総合保健福祉センター,TRUE,2021-08-19,13:20,14:40,14:00,14:20,10,1,0,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-19,2021-08-19T13:20:00.000+9,2021-08-19T14:40:00.000+9,2021-08-19T14:00:00.000+9,2021-08-19T14:20:00.000+9
53,7/14～8/01_総合保健福祉センター,TRUE,2021-07-17,13:20,15:00,,,10,3,1,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-17,2021-07-17T13:20:00.000+9,2021-07-17T15:00:00.000+9,2021-07-17T00:00:00.000+9,2021-07-17T00:00:00.000+9
54,7/14～8/01_総合保健福祉センター,TRUE,2021-07-31,13:20,15:00,,,10,3,1,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-31,2021-07-31T13:20:00.000+9,2021-07-31T15:00:00.000+9,2021-07-31T00:00:00.000+9,2021-07-31T00:00:00.000+9
55,7/14～8/01_総合保健福祉センター,TRUE,2021-08-07,13:20,15:00,,,10,3,1,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-07,2021-08-07T13:20:00.000+9,2021-08-07T15:00:00.000+9,2021-08-07T00:00:00.000+9,2021-08-07T00:00:00.000+9
56,7/14～8/01_総合保健福祉センター,TRUE,2021-08-21,13:20,15:00,,,10,3,1,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-21,2021-08-21T13:20:00.000+9,2021-08-21T15:00:00.000+9,2021-08-21T00:00:00.000+9,2021-08-21T00:00:00.000+9
57,7/14～8/01_総合保健福祉センター,TRUE,2021-07-18,9:50,14:20,10:20,13:50,10,5,2,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-18,2021-07-18T09:50:00.000+9,2021-07-18T14:20:00.000+9,2021-07-18T10:20:00.000+9,2021-07-18T13:50:00.000+9
58,7/14～8/01_総合保健福祉センター,TRUE,2021-07-25,9:50,14:20,10:20,13:50,10,5,2,120,2,2,7/14～8/01_総合保健福祉センター/2021-07-25,2021-07-25T09:50:00.000+9,2021-07-25T14:20:00.000+9,2021-07-25T10:20:00.000+9,2021-07-25T13:50:00.000+9
59,7/14～8/01_総合保健福祉センター,TRUE,2021-08-01,9:50,14:20,10:20,13:50,10,5,2,120,2,2,7/14～8/01_総合保健福祉センター/2021-08-01,2021-08-01T09:50:00.000+9,2021-08-01T14:20:00.000+9,2021-08-01T10:20:00.000+9,2021-08-01T13:50:00.000+9
60,7/14～8/01_総合保健福祉センター,TRUE,2021-08-08,9:50,14:20,10:20,13:50,10,5,2,0,0,0,7/14～8/01_総合保健福祉センター/2021-08-08,2021-08-08T09:50:00.000+9,2021-08-08T14:20:00.000+9,2021-08-08T10:20:00.000+9,2021-08-08T13:50:00.000+9
