周,No,病院ID,有効,"接種日
※インポート時紐付け不要","接種（予約）開始時間
※インポート時紐付け不要","接種（予約）終了時間
※インポート時紐付け不要","昼休み開始時間
※インポート時紐付け不要","昼休み終了時間
※インポート時紐付け不要",予約枠あたりの時間（分）,予約枠あたりの接種者数,予約枠あたりの優先接種者数,予約開始までの日数,予約終了までの日数,予約変更までの日数,外部ID,開始時,終了時,昼休み開始,昼休み終了
5,69,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-19,13:20,16:40,,,10,4,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-19,2021-06-19T13:20:00.000+9,2021-06-19T16:40:00.000+9,2021-06-19T00:00:00.000+9,2021-06-19T00:00:00.000+9
5,70,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-26,13:20,16:40,,,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-06-26,2021-06-26T13:20:00.000+9,2021-06-26T16:40:00.000+9,2021-06-26T00:00:00.000+9,2021-06-26T00:00:00.000+9
5,71,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-03,13:20,16:40,,,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-07-03,2021-07-03T13:20:00.000+9,2021-07-03T16:40:00.000+9,2021-07-03T00:00:00.000+9,2021-07-03T00:00:00.000+9
5,72,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-10,13:20,16:40,,,10,4,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-07-10,2021-07-10T13:20:00.000+9,2021-07-10T16:40:00.000+9,2021-07-10T00:00:00.000+9,2021-07-10T00:00:00.000+9
5,73,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-06,9:50,15:50,11:50,13:50,10,3,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-06,2021-06-06T09:50:00.000+9,2021-06-06T15:50:00.000+9,2021-06-06T11:50:00.000+9,2021-06-06T13:50:00.000+9
5,74,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-13,9:50,15:50,11:50,13:50,10,3,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-13,2021-06-13T09:50:00.000+9,2021-06-13T15:50:00.000+9,2021-06-13T11:50:00.000+9,2021-06-13T13:50:00.000+9
5,75,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-20,9:50,15:50,11:50,13:50,10,3,1,120,3,3,8/04～8/22_総合保健福祉センター(60歳)/2021-06-20,2021-06-20T09:50:00.000+9,2021-06-20T15:50:00.000+9,2021-06-20T11:50:00.000+9,2021-06-20T13:50:00.000+9
5,76,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-06-27,9:50,15:50,11:50,13:50,10,3,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-06-27,2021-06-27T09:50:00.000+9,2021-06-27T15:50:00.000+9,2021-06-27T11:50:00.000+9,2021-06-27T13:50:00.000+9
5,77,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-04,9:50,15:50,11:50,13:50,10,3,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-07-04,2021-07-04T09:50:00.000+9,2021-07-04T15:50:00.000+9,2021-07-04T11:50:00.000+9,2021-07-04T13:50:00.000+9
5,78,8/04～8/22_総合保健福祉センター(60歳),TRUE,2021-07-11,9:50,15:50,11:50,13:50,10,3,1,0,0,0,8/04～8/22_総合保健福祉センター(60歳)/2021-07-11,2021-07-11T09:50:00.000+9,2021-07-11T15:50:00.000+9,2021-07-11T11:50:00.000+9,2021-07-11T13:50:00.000+9
5,79,8/04～8/22_東生涯学習センター(60歳),TRUE,2021-06-02,13:20,14:40,14:10,14:20,10,4,1,120,3,3,8/04～8/22_東生涯学習センター(60歳)/2021-06-02,2021-06-02T13:20:00.000+9,2021-06-02T14:40:00.000+9,2021-06-02T14:10:00.000+9,2021-06-02T14:20:00.000+9
